217,1969-06-01,Gesetz über die Eidgenössischen Technischen Hochschulen,NaN,NaN,Nan
218,1969-09-14,Verfassungsrechtliche Ordnung des Bodenrechts,NaN,NaN,Nan
219,1970-02-01,Bundesbeschluss über die inländische Zuckerwirtschaft,NaN,NaN,Nan
220,1970-06-07,Initiative «Gegen die Überfremdung»,NaN,NaN,Nan
221,1970-09-27,Verfassungsartikel zur Förderung von Turnen und Sport,NaN,NaN,Nan
222,1970-09-27,Initiative «Recht auf Wohnung und Ausbau des Familienschutzes»,NaN,NaN,Nan
223,1970-11-15,Änderung der Finanzordnung,NaN,NaN,Nan
224,1971-02-07,Einführung des Frauenstimmrechts,NaN,NaN,Nan
225,1971-06-06,Umweltschutzartikel,NaN,NaN,Nan
226,1971-06-06,Weiterführung der Finanzordnung,NaN,NaN,Nan
227.1,1972-03-05,Initiative «zur Förderung des Wohnungsbaues»,NaN,NaN,Nan
227.2,1972-03-05,Gegenentwurf zur Wohnungsbau-Initiative,NaN,NaN,Nan
228,1972-03-05,Verfassungsartikel über den Mieterschutz und die Allgemeinverbindlicherklärung von Mietverträgen,NaN,NaN,Nan
229,1972-06-04,Massnahmen zur Stabilisierung des Baumarktes,NaN,NaN,Nan
230,1972-06-04,Bundesbeschluss über den Schutz der Währung,NaN,NaN,Nan
231,1972-09-24,Initiative für ein Waffenausfuhrverbot,NaN,NaN,Nan
232.1,1972-12-03,Initiative zur Einführung einer Volkspension,NaN,NaN,Nan
232.2,1972-12-03,Gegenentwurf zur Initiative zur Einführung einer Volkspension,NaN,NaN,Nan
233,1972-12-03,Abkommen mit der EWG,NaN,NaN,Nan
234,1973-03-04,Bildungsartikel,NaN,NaN,Nan
235,1973-03-04,Verfassungsartikel zur wissenschaftlichen Forschung,NaN,NaN,Nan
236,1973-05-20,Aufhebung des Jesuiten- und des Klosterartikels,NaN,NaN,Nan
237,1973-12-02,Massnahmen zur Preisüberwachung,NaN,NaN,Nan
238,1973-12-02,Massnahmen auf dem Gebiet des Kreditwesens,NaN,NaN,Nan
239,1973-12-02,Massnahmen zur Stabilisierung des Baumarktes,NaN,NaN,Nan
240,1973-12-02,Einschränkung der steuerwirksamen Abschreibungen,NaN,NaN,Nan
241,1973-12-02,Tierschutzartikel ,NaN,NaN,Nan
242,1974-10-20,Initiative «Gegen die Überfremdung»,NaN,NaN,Nan
243,1974-12-08,Verbesserung des Bundeshaushalts,NaN,NaN,Nan
244,1974-12-08,Erschwerung von Ausgabenbeschlüssen,NaN,NaN,Nan
245.1,1974-12-08,Initiative «für eine soziale Krankenversicherung»,NaN,NaN,Nan
245.2,1974-12-08,Bundesbeschluss über die soziale Krankenversicherung (Gegenentwurf),NaN,NaN,Nan
246,1975-03-02,Konjunkturartikel,NaN,NaN,Nan
247,1975-06-08,Bundesbeschluss über den Schutz der Währung,NaN,NaN,Nan
248,1975-06-08,Bundesbeschluss über die Finanzierung der Nationalstrassen,NaN,NaN,Nan
249,1975-06-08,Änderung des Generalzolltarifs,NaN,NaN,Nan
250,1975-06-08,Bundesbeschluss zur Erhöhung der Steuereinnahmen,NaN,NaN,Nan
251,1975-06-08,Erschwerung von Ausgabenbeschlüssen,NaN,NaN,Nan
252,1975-12-07,Reform der Niederlassungsfreiheit und Unterstützungsregelung,NaN,NaN,Nan
253,1975-12-07,Verfassungsbestimmungen zur Wasserwirtschaft,NaN,NaN,Nan
254,1975-12-07,Gesetz über die Ein- und Ausfuhr von Landwirtschaftserzeugnissen,NaN,NaN,Nan
255.1,1976-03-21,Initiative «für die Mitbestimmung der Arbeitnehmer»,NaN,NaN,Nan
255.2,1976-03-21,Gegenentwurf zur Mitbestimmungsinitiative,NaN,NaN,Nan
256,1976-03-21,Initiative «für eine Reform des Steuerwesens»,NaN,NaN,Nan
257,1976-06-13,Raumplanungsgesetz,NaN,NaN,Nan
258,1976-06-13,Darlehen an die Internationale Entwicklungsorganisation,NaN,NaN,Nan
259,1976-06-13,Neukonzeption der Arbeitslosenversicherung,NaN,NaN,Nan
260,1976-09-26,Radio- und Fernsehartikel,NaN,NaN,Nan
261,1976-09-26,Initiative für eine Haftpflichtversicherung für Motorfahrzeuge und Fahrräder,NaN,NaN,Nan
262,1976-12-05,Bundesbeschluss über die Geld- und Kreditpolitik,NaN,NaN,Nan
263,1976-12-05,Bundesbeschluss über die Preisüberwachung,NaN,NaN,Nan
264,1976-12-05,Initiative «für die Einführung der 40-Stunden-Woche»,NaN,NaN,Nan
265,1977-03-13,Vierte «Überfremdungsinitiative»,NaN,NaN,Nan
266,1977-03-13,Initiative «für eine Beschränkung der Einbürgerungen»,NaN,NaN,Nan
267.1,1977-03-13,Initiative zur Neuordnung des Staatsvertragsreferendums,NaN,NaN,Nan
267.2,1977-03-13,Neuordnung des Staatsvertragsreferendums (Gegenentwurf),NaN,NaN,Nan
268,1977-06-12,Neuordnung der Umsatzsteuer und der direkten Bundessteuer,NaN,NaN,Nan
269,1977-06-12,Bundesbeschluss über die Steuerharmonisierung,NaN,NaN,Nan
270.1,1977-09-25,Mieterschutzinitiative,NaN,NaN,Nan
270.2,1977-09-25,Gegenentwurf zur Mieterschutzinitiative,NaN,NaN,Nan
271,1977-09-25,Initiative «gegen die Luftverschmutzung durch Motorfahrzeuge»,NaN,NaN,Nan
272,1977-09-25,Erhöhung der Unterschriftenzahl für das Referendum,NaN,NaN,Nan
273,1977-09-25,Erhöhung der Unterschriftenzahl für die Verfassungsinitiative,NaN,NaN,Nan
274,1977-09-25,Initiative «für die Fristenlösung»,NaN,NaN,Nan
275,1977-12-04,«Reichtumssteuer-Initiative»,NaN,NaN,Nan
276,1977-12-04,Bundesgesetz über die politischen Rechte,NaN,NaN,Nan
277,1977-12-04,Einführung eines zivilen Ersatzdienstes,NaN,NaN,Nan
278,1977-12-04,Massnahmen zum Ausgleich des Bundeshaushaltes,NaN,NaN,Nan
279,1978-02-26,Initiative für mehr Mitbestimmung im Nationalstrassenbau,NaN,NaN,Nan
280,1978-02-26,9. AHV-Revision,NaN,NaN,Nan
281,1978-02-26,Initiative zur Herabsetzung des AHV-Alters,NaN,NaN,Nan
282,1978-02-26,Konjunkturartikel,NaN,NaN,Nan
283,1978-05-28,Zeitgesetz (Sommerzeit),NaN,NaN,Nan
284,1978-05-28,Zolltarifgesetz (Brotpreis),NaN,NaN,Nan
285,1978-05-28,Gesetz über den Schwangerschaftsabbruch,NaN,NaN,Nan
286,1978-05-28,Gesetz über die Hochschulförderung,NaN,NaN,Nan
287,1978-05-28,Initiative für 12 autofreie Sonntage pro Jahr,NaN,NaN,Nan
288,1978-09-24,Bundesbeschluss über die Gründung des Kantons Jura,NaN,NaN,Nan
